dataset_id,proportion_of_village,cluster_type,n,ratio
19,0.7000000000000001,k-means,8,1
19,0.7000000000000001,random,8,1
19,0.7100000000000001,hierarchical clustering,8,1
19,0.7100000000000001,k-means,8,1
19,0.7100000000000001,random,8,1
19,0.7200000000000001,hierarchical clustering,8,1
19,0.7200000000000001,k-means,8,1
19,0.7200000000000001,random,8,1
19,0.7300000000000001,hierarchical clustering,8,1
19,0.7300000000000001,k-means,8,1
19,0.7300000000000001,random,8,1
19,0.7400000000000001,hierarchical clustering,8,1
19,0.7400000000000001,k-means,8,1
19,0.7400000000000001,random,8,1
19,0.7500000000000001,hierarchical clustering,8,1
19,0.7500000000000001,k-means,8,1
19,0.7500000000000001,random,8,1
19,0.76,hierarchical clustering,8,1
19,0.76,k-means,8,1
19,0.76,random,8,1
19,0.77,hierarchical clustering,8,1
19,0.77,k-means,8,1
19,0.77,random,8,1
19,0.78,hierarchical clustering,8,1
19,0.78,k-means,8,1
19,0.78,random,8,1
19,0.79,hierarchical clustering,8,1
19,0.79,k-means,8,1
19,0.79,random,8,1
19,0.8,hierarchical clustering,8,1
19,0.8,k-means,8,1
19,0.8,random,8,1
19,0.81,hierarchical clustering,8,1
19,0.81,k-means,8,1
19,0.81,random,8,1
19,0.8200000000000001,hierarchical clustering,8,1
19,0.8200000000000001,k-means,8,1
19,0.8200000000000001,random,8,1
19,0.8300000000000001,hierarchical clustering,8,1
19,0.8300000000000001,k-means,8,1
19,0.8300000000000001,random,8,1
19,0.8400000000000001,hierarchical clustering,8,1
19,0.8400000000000001,k-means,8,1
19,0.8400000000000001,random,8,1
19,0.8500000000000001,hierarchical clustering,8,1
19,0.8500000000000001,k-means,8,1
19,0.8500000000000001,random,8,1
19,0.8600000000000001,hierarchical clustering,8,1
19,0.8600000000000001,k-means,8,1
19,0.8600000000000001,random,8,1
19,0.8700000000000001,hierarchical clustering,8,1
19,0.8700000000000001,k-means,8,1
19,0.8700000000000001,random,8,1
19,0.8800000000000001,hierarchical clustering,8,1
19,0.8800000000000001,k-means,8,1
19,0.8800000000000001,random,8,1
19,0.89,hierarchical clustering,8,1
19,0.89,k-means,8,1
19,0.89,random,8,1
19,0.9,hierarchical clustering,8,1
19,0.9,k-means,8,1
19,0.9,random,8,1
20,0.05,hierarchical clustering,4,0.5
20,0.05,k-means,6,0.75
20,0.05,random,4,0.5
20,0.060000000000000005,hierarchical clustering,7,0.875
20,0.060000000000000005,k-means,5,0.625
20,0.060000000000000005,random,3,0.375
20,0.07,hierarchical clustering,6,0.75
20,0.07,k-means,5,0.625
20,0.07,random,4,0.5
20,0.08,hierarchical clustering,8,1
20,0.08,k-means,7,0.875
20,0.08,random,5,0.625
20,0.09,hierarchical clustering,6,0.75
20,0.09,k-means,6,0.75
20,0.09,random,5,0.625
20,0.1,hierarchical clustering,7,0.875
20,0.1,k-means,5,0.625
20,0.1,random,4,0.5
20,0.11,hierarchical clustering,7,0.875
20,0.11,k-means,8,1
20,0.11,random,7,0.875
20,0.12000000000000001,hierarchical clustering,7,0.875
20,0.12000000000000001,k-means,7,0.875
20,0.12000000000000001,random,6,0.75
20,0.13,hierarchical clustering,6,0.75
20,0.13,k-means,6,0.75
20,0.13,random,6,0.75
20,0.14,hierarchical clustering,7,0.875
20,0.14,k-means,5,0.625
20,0.14,random,5,0.625
20,0.15000000000000002,hierarchical clustering,7,0.875
20,0.15000000000000002,k-means,8,1
20,0.15000000000000002,random,6,0.75
20,0.16,hierarchical clustering,7,0.875
20,0.16,k-means,8,1
20,0.16,random,7,0.875
20,0.16999999999999998,hierarchical clustering,8,1
20,0.16999999999999998,k-means,7,0.875
20,0.16999999999999998,random,5,0.625
20,0.18,hierarchical clustering,7,0.875
20,0.18,k-means,7,0.875
20,0.18,random,6,0.75
20,0.19,hierarchical clustering,7,0.875
20,0.19,k-means,8,1
20,0.19,random,7,0.875
20,0.2,hierarchical clustering,7,0.875
20,0.2,k-means,7,0.875
20,0.2,random,7,0.875
20,0.21000000000000002,hierarchical clustering,7,0.875
20,0.21000000000000002,k-means,7,0.875
20,0.21000000000000002,random,7,0.875
20,0.22000000000000003,hierarchical clustering,8,1
20,0.22000000000000003,k-means,7,0.875
20,0.22000000000000003,random,6,0.75
20,0.22999999999999998,hierarchical clustering,7,0.875
20,0.22999999999999998,k-means,8,1
20,0.22999999999999998,random,7,0.875
20,0.24,hierarchical clustering,7,0.875
20,0.24,k-means,6,0.75
20,0.24,random,7,0.875
20,0.25,hierarchical clustering,8,1
20,0.25,k-means,8,1
20,0.25,random,7,0.875
20,0.26,hierarchical clustering,7,0.875
20,0.26,k-means,7,0.875
20,0.26,random,6,0.75
20,0.27,hierarchical clustering,8,1
20,0.27,k-means,7,0.875
20,0.27,random,7,0.875
20,0.28,hierarchical clustering,6,0.75
20,0.28,k-means,7,0.875
20,0.28,random,8,1
20,0.29,hierarchical clustering,7,0.875
20,0.29,k-means,8,1
20,0.29,random,7,0.875
20,0.3,hierarchical clustering,7,0.875
20,0.3,k-means,7,0.875
20,0.3,random,8,1
20,0.31,hierarchical clustering,7,0.875
20,0.31,k-means,8,1
20,0.31,random,8,1
20,0.32,hierarchical clustering,8,1
20,0.32,k-means,8,1
20,0.32,random,8,1
20,0.33,hierarchical clustering,8,1
20,0.33,k-means,8,1
20,0.33,random,8,1
20,0.33999999999999997,hierarchical clustering,8,1
20,0.33999999999999997,k-means,7,0.875
20,0.33999999999999997,random,8,1
20,0.35,hierarchical clustering,7,0.875
20,0.35,k-means,8,1
20,0.35,random,8,1
20,0.36,hierarchical clustering,7,0.875
20,0.36,k-means,8,1
20,0.36,random,8,1
20,0.37,hierarchical clustering,8,1
20,0.37,k-means,7,0.875
20,0.37,random,8,1
20,0.38,hierarchical clustering,8,1
20,0.38,k-means,7,0.875
20,0.38,random,8,1
20,0.39,hierarchical clustering,8,1
20,0.39,k-means,7,0.875
20,0.39,random,7,0.875
20,0.4,hierarchical clustering,8,1
20,0.4,k-means,7,0.875
20,0.4,random,8,1
20,0.41,hierarchical clustering,8,1
20,0.41,k-means,8,1
20,0.41,random,7,0.875
20,0.42,hierarchical clustering,8,1
20,0.42,k-means,8,1
20,0.42,random,8,1
20,0.43,hierarchical clustering,8,1
20,0.43,k-means,8,1
20,0.43,random,7,0.875
20,0.44,hierarchical clustering,8,1
20,0.44,k-means,8,1
20,0.44,random,7,0.875
20,0.45,hierarchical clustering,8,1
20,0.45,k-means,7,0.875
20,0.45,random,8,1
20,0.46,hierarchical clustering,8,1
20,0.46,k-means,8,1
20,0.46,random,8,1
20,0.47,hierarchical clustering,8,1
20,0.47,k-means,8,1
20,0.47,random,8,1
20,0.48,hierarchical clustering,8,1
20,0.48,k-means,8,1
20,0.48,random,8,1
20,0.49,hierarchical clustering,8,1
20,0.49,k-means,8,1
20,0.49,random,8,1
20,0.5,hierarchical clustering,8,1
20,0.5,k-means,8,1
20,0.5,random,8,1
20,0.51,hierarchical clustering,8,1
20,0.51,k-means,8,1
20,0.51,random,8,1
20,0.52,hierarchical clustering,8,1
20,0.52,k-means,8,1
20,0.52,random,8,1
20,0.53,hierarchical clustering,8,1
20,0.53,k-means,7,0.875
20,0.53,random,8,1
20,0.54,hierarchical clustering,8,1
20,0.54,k-means,8,1
20,0.54,random,8,1
20,0.55,hierarchical clustering,8,1
20,0.55,k-means,8,1
20,0.55,random,7,0.875
20,0.56,hierarchical clustering,8,1
20,0.56,k-means,8,1
20,0.56,random,7,0.875
20,0.5700000000000001,hierarchical clustering,8,1
20,0.5700000000000001,k-means,8,1
20,0.5700000000000001,random,8,1
20,0.5800000000000001,hierarchical clustering,8,1
20,0.5800000000000001,k-means,8,1
20,0.5800000000000001,random,8,1
20,0.5900000000000001,hierarchical clustering,8,1
20,0.5900000000000001,k-means,8,1
20,0.5900000000000001,random,8,1
20,0.6000000000000001,hierarchical clustering,8,1
20,0.6000000000000001,k-means,8,1
20,0.6000000000000001,random,8,1
20,0.6100000000000001,hierarchical clustering,8,1
20,0.6100000000000001,k-means,8,1
20,0.6100000000000001,random,8,1
20,0.6200000000000001,hierarchical clustering,8,1
20,0.6200000000000001,k-means,8,1
20,0.6200000000000001,random,8,1
20,0.63,hierarchical clustering,8,1
20,0.63,k-means,8,1
20,0.63,random,8,1
20,0.64,hierarchical clustering,8,1
20,0.64,k-means,8,1
20,0.64,random,7,0.875
20,0.65,hierarchical clustering,8,1
20,0.65,k-means,8,1
20,0.65,random,8,1
20,0.66,hierarchical clustering,8,1
20,0.66,k-means,8,1
20,0.66,random,8,1
20,0.67,hierarchical clustering,8,1
20,0.67,k-means,8,1
20,0.67,random,8,1
20,0.68,hierarchical clustering,8,1
20,0.68,k-means,8,1
20,0.68,random,8,1
20,0.6900000000000001,hierarchical clustering,8,1
20,0.6900000000000001,k-means,8,1
20,0.6900000000000001,random,8,1
20,0.7000000000000001,hierarchical clustering,8,1
20,0.7000000000000001,k-means,8,1
20,0.7000000000000001,random,8,1
20,0.7100000000000001,hierarchical clustering,8,1
20,0.7100000000000001,k-means,8,1
20,0.7100000000000001,random,8,1
20,0.7200000000000001,hierarchical clustering,8,1
20,0.7200000000000001,k-means,8,1
20,0.7200000000000001,random,8,1
20,0.7300000000000001,hierarchical clustering,8,1
20,0.7300000000000001,k-means,8,1
20,0.7300000000000001,random,8,1
20,0.7400000000000001,hierarchical clustering,8,1
20,0.7400000000000001,k-means,8,1
20,0.7400000000000001,random,8,1
20,0.7500000000000001,hierarchical clustering,8,1
20,0.7500000000000001,k-means,8,1
20,0.7500000000000001,random,8,1
20,0.76,hierarchical clustering,8,1
20,0.76,k-means,8,1
20,0.76,random,8,1
20,0.77,hierarchical clustering,8,1
20,0.77,k-means,8,1
20,0.77,random,8,1
20,0.78,hierarchical clustering,8,1
20,0.78,k-means,8,1
20,0.78,random,8,1
20,0.79,hierarchical clustering,8,1
20,0.79,k-means,8,1
20,0.79,random,8,1
20,0.8,hierarchical clustering,8,1
20,0.8,k-means,8,1
20,0.8,random,8,1
20,0.81,hierarchical clustering,8,1
20,0.81,k-means,8,1
20,0.81,random,8,1
20,0.8200000000000001,hierarchical clustering,8,1
20,0.8200000000000001,k-means,8,1
20,0.8200000000000001,random,8,1
20,0.8300000000000001,hierarchical clustering,8,1
20,0.8300000000000001,k-means,8,1
20,0.8300000000000001,random,8,1
20,0.8400000000000001,hierarchical clustering,8,1
20,0.8400000000000001,k-means,8,1
20,0.8400000000000001,random,8,1
20,0.8500000000000001,hierarchical clustering,8,1
20,0.8500000000000001,k-means,8,1
20,0.8500000000000001,random,8,1
20,0.8600000000000001,hierarchical clustering,8,1
20,0.8600000000000001,k-means,8,1
20,0.8600000000000001,random,8,1
20,0.8700000000000001,hierarchical clustering,8,1
20,0.8700000000000001,k-means,8,1
20,0.8700000000000001,random,8,1
20,0.8800000000000001,hierarchical clustering,8,1
20,0.8800000000000001,k-means,8,1
20,0.8800000000000001,random,8,1
20,0.89,hierarchical clustering,8,1
20,0.89,k-means,8,1
20,0.89,random,8,1
20,0.9,hierarchical clustering,8,1
20,0.9,k-means,8,1
20,0.9,random,8,1
21,0.05,hierarchical clustering,6,0.75
21,0.05,k-means,6,0.75
21,0.05,random,3,0.375
21,0.060000000000000005,hierarchical clustering,5,0.625
21,0.060000000000000005,k-means,4,0.5
21,0.060000000000000005,random,4,0.5
21,0.07,hierarchical clustering,5,0.625
21,0.07,k-means,4,0.5
21,0.07,random,5,0.625
21,0.08,hierarchical clustering,7,0.875
21,0.08,k-means,4,0.5
21,0.08,random,5,0.625
21,0.09,hierarchical clustering,6,0.75
21,0.09,k-means,4,0.5
21,0.09,random,4,0.5
21,0.1,hierarchical clustering,7,0.875
21,0.1,k-means,6,0.75
21,0.1,random,7,0.875
21,0.11,hierarchical clustering,8,1
21,0.11,k-means,6,0.75
21,0.11,random,6,0.75
21,0.12000000000000001,hierarchical clustering,8,1
21,0.12000000000000001,k-means,7,0.875
21,0.12000000000000001,random,7,0.875
21,0.13,hierarchical clustering,6,0.75
21,0.13,k-means,8,1
21,0.13,random,6,0.75
21,0.14,hierarchical clustering,7,0.875
21,0.14,k-means,7,0.875
21,0.14,random,5,0.625
21,0.15000000000000002,hierarchical clustering,8,1
21,0.15000000000000002,k-means,7,0.875
21,0.15000000000000002,random,4,0.5
21,0.16,hierarchical clustering,7,0.875
21,0.16,k-means,7,0.875
21,0.16,random,6,0.75
21,0.16999999999999998,hierarchical clustering,8,1
21,0.16999999999999998,k-means,6,0.75
21,0.16999999999999998,random,7,0.875
21,0.18,hierarchical clustering,6,0.75
21,0.18,k-means,7,0.875
21,0.18,random,7,0.875
21,0.19,hierarchical clustering,7,0.875
21,0.19,k-means,7,0.875
21,0.19,random,8,1
21,0.2,hierarchical clustering,7,0.875
21,0.2,k-means,7,0.875
21,0.2,random,7,0.875
21,0.21000000000000002,hierarchical clustering,6,0.75
21,0.21000000000000002,k-means,7,0.875
21,0.21000000000000002,random,7,0.875
21,0.22000000000000003,hierarchical clustering,7,0.875
21,0.22000000000000003,k-means,8,1
21,0.22000000000000003,random,7,0.875
21,0.22999999999999998,hierarchical clustering,7,0.875
21,0.22999999999999998,k-means,7,0.875
21,0.22999999999999998,random,8,1
21,0.24,hierarchical clustering,7,0.875
21,0.24,k-means,7,0.875
21,0.24,random,7,0.875
21,0.25,hierarchical clustering,7,0.875
21,0.25,k-means,7,0.875
21,0.25,random,8,1
21,0.26,hierarchical clustering,8,1
21,0.26,k-means,8,1
21,0.26,random,6,0.75
21,0.27,hierarchical clustering,7,0.875
21,0.27,k-means,7,0.875
21,0.27,random,7,0.875
21,0.28,hierarchical clustering,7,0.875
21,0.28,k-means,8,1
21,0.28,random,6,0.75
21,0.29,hierarchical clustering,8,1
21,0.29,k-means,7,0.875
21,0.29,random,7,0.875
21,0.3,hierarchical clustering,7,0.875
21,0.3,k-means,8,1
21,0.3,random,7,0.875
21,0.31,hierarchical clustering,8,1
21,0.31,k-means,7,0.875
21,0.31,random,7,0.875
21,0.32,hierarchical clustering,8,1
21,0.32,k-means,8,1
21,0.32,random,8,1
21,0.33,hierarchical clustering,8,1
21,0.33,k-means,8,1
21,0.33,random,7,0.875
21,0.33999999999999997,hierarchical clustering,7,0.875
21,0.33999999999999997,k-means,7,0.875
21,0.33999999999999997,random,8,1
21,0.35,hierarchical clustering,8,1
21,0.35,k-means,8,1
21,0.35,random,8,1
21,0.36,hierarchical clustering,8,1
21,0.36,k-means,7,0.875
21,0.36,random,7,0.875
21,0.37,hierarchical clustering,7,0.875
21,0.37,k-means,8,1
21,0.37,random,8,1
21,0.38,hierarchical clustering,8,1
21,0.38,k-means,7,0.875
21,0.38,random,8,1
21,0.39,hierarchical clustering,8,1
21,0.39,k-means,8,1
21,0.39,random,8,1
21,0.4,hierarchical clustering,8,1
21,0.4,k-means,8,1
21,0.4,random,8,1
21,0.41,hierarchical clustering,7,0.875
21,0.41,k-means,7,0.875
21,0.41,random,8,1
21,0.42,hierarchical clustering,8,1
21,0.42,k-means,8,1
21,0.42,random,8,1
21,0.43,hierarchical clustering,8,1
21,0.43,k-means,8,1
21,0.43,random,8,1
21,0.44,hierarchical clustering,8,1
21,0.44,k-means,7,0.875
21,0.44,random,8,1
21,0.45,hierarchical clustering,8,1
21,0.45,k-means,8,1
21,0.45,random,8,1
21,0.46,hierarchical clustering,8,1
21,0.46,k-means,8,1
21,0.46,random,8,1
21,0.47,hierarchical clustering,8,1
21,0.47,k-means,8,1
21,0.47,random,8,1
21,0.48,hierarchical clustering,8,1
21,0.48,k-means,8,1
21,0.48,random,8,1
21,0.49,hierarchical clustering,8,1
21,0.49,k-means,8,1
21,0.49,random,7,0.875
21,0.5,hierarchical clustering,8,1
21,0.5,k-means,8,1
21,0.5,random,8,1
21,0.51,hierarchical clustering,8,1
21,0.51,k-means,8,1
21,0.51,random,8,1
21,0.52,hierarchical clustering,8,1
21,0.52,k-means,8,1
21,0.52,random,8,1
21,0.53,hierarchical clustering,8,1
21,0.53,k-means,8,1
21,0.53,random,8,1
21,0.54,hierarchical clustering,8,1
21,0.54,k-means,8,1
21,0.54,random,8,1
21,0.55,hierarchical clustering,8,1
21,0.55,k-means,8,1
21,0.55,random,8,1
21,0.56,hierarchical clustering,8,1
21,0.56,k-means,8,1
21,0.56,random,8,1
21,0.5700000000000001,hierarchical clustering,8,1
21,0.5700000000000001,k-means,8,1
21,0.5700000000000001,random,8,1
21,0.5800000000000001,hierarchical clustering,8,1
21,0.5800000000000001,k-means,8,1
21,0.5800000000000001,random,8,1
21,0.5900000000000001,hierarchical clustering,8,1
21,0.5900000000000001,k-means,8,1
21,0.5900000000000001,random,7,0.875
21,0.6000000000000001,hierarchical clustering,8,1
21,0.6000000000000001,k-means,8,1
21,0.6000000000000001,random,8,1
21,0.6100000000000001,hierarchical clustering,8,1
21,0.6100000000000001,k-means,8,1
21,0.6100000000000001,random,8,1
21,0.6200000000000001,hierarchical clustering,8,1
21,0.6200000000000001,k-means,8,1
21,0.6200000000000001,random,8,1
21,0.63,hierarchical clustering,8,1
21,0.63,k-means,8,1
21,0.63,random,7,0.875
21,0.64,hierarchical clustering,8,1
21,0.64,k-means,8,1
21,0.64,random,8,1
21,0.65,hierarchical clustering,8,1
21,0.65,k-means,8,1
21,0.65,random,8,1
21,0.66,hierarchical clustering,8,1
21,0.66,k-means,8,1
21,0.66,random,8,1
21,0.67,hierarchical clustering,8,1
21,0.67,k-means,8,1
21,0.67,random,8,1
21,0.68,hierarchical clustering,8,1
21,0.68,k-means,8,1
21,0.68,random,8,1
21,0.6900000000000001,hierarchical clustering,8,1
21,0.6900000000000001,k-means,8,1
21,0.6900000000000001,random,8,1
21,0.7000000000000001,hierarchical clustering,8,1
21,0.7000000000000001,k-means,8,1
21,0.7000000000000001,random,8,1
21,0.7100000000000001,hierarchical clustering,8,1
21,0.7100000000000001,k-means,8,1
21,0.7100000000000001,random,8,1
21,0.7200000000000001,hierarchical clustering,8,1
21,0.7200000000000001,k-means,8,1
21,0.7200000000000001,random,8,1
21,0.7300000000000001,hierarchical clustering,8,1
21,0.7300000000000001,k-means,8,1
21,0.7300000000000001,random,8,1
21,0.7400000000000001,hierarchical clustering,8,1
21,0.7400000000000001,k-means,8,1
21,0.7400000000000001,random,8,1
21,0.7500000000000001,hierarchical clustering,8,1
21,0.7500000000000001,k-means,8,1
21,0.7500000000000001,random,8,1
21,0.76,hierarchical clustering,8,1
21,0.76,k-means,8,1
21,0.76,random,8,1
21,0.77,hierarchical clustering,8,1
21,0.77,k-means,8,1
21,0.77,random,8,1
21,0.78,hierarchical clustering,8,1
21,0.78,k-means,8,1
21,0.78,random,8,1
21,0.79,hierarchical clustering,8,1
21,0.79,k-means,8,1
21,0.79,random,8,1
21,0.8,hierarchical clustering,8,1
21,0.8,k-means,8,1
21,0.8,random,8,1
21,0.81,hierarchical clustering,8,1
21,0.81,k-means,8,1
21,0.81,random,8,1
21,0.8200000000000001,hierarchical clustering,8,1
21,0.8200000000000001,k-means,8,1
21,0.8200000000000001,random,8,1
21,0.8300000000000001,hierarchical clustering,8,1
21,0.8300000000000001,k-means,8,1
21,0.8300000000000001,random,8,1
21,0.8400000000000001,hierarchical clustering,8,1
21,0.8400000000000001,k-means,8,1
21,0.8400000000000001,random,8,1
21,0.8500000000000001,hierarchical clustering,8,1
21,0.8500000000000001,k-means,8,1
21,0.8500000000000001,random,8,1
21,0.8600000000000001,hierarchical clustering,8,1
21,0.8600000000000001,k-means,8,1
21,0.8600000000000001,random,8,1
21,0.8700000000000001,hierarchical clustering,8,1
21,0.8700000000000001,k-means,8,1
21,0.8700000000000001,random,8,1
21,0.8800000000000001,hierarchical clustering,8,1
21,0.8800000000000001,k-means,8,1
21,0.8800000000000001,random,8,1
21,0.89,hierarchical clustering,8,1
21,0.89,k-means,8,1
21,0.89,random,8,1
21,0.9,hierarchical clustering,8,1
21,0.9,k-means,8,1
21,0.9,random,8,1
22,0.05,hierarchical clustering,5,0.625
22,0.05,k-means,5,0.625
22,0.05,random,3,0.375
22,0.060000000000000005,hierarchical clustering,5,0.625
22,0.060000000000000005,k-means,6,0.75
22,0.060000000000000005,random,4,0.5
22,0.07,hierarchical clustering,6,0.75
22,0.07,k-means,4,0.5
22,0.07,random,6,0.75
22,0.08,hierarchical clustering,5,0.625
22,0.08,k-means,7,0.875
22,0.08,random,5,0.625
22,0.09,hierarchical clustering,7,0.875
22,0.09,k-means,7,0.875
22,0.09,random,6,0.75
22,0.1,hierarchical clustering,7,0.875
22,0.1,k-means,5,0.625
22,0.1,random,6,0.75
22,0.11,hierarchical clustering,6,0.75
22,0.11,k-means,5,0.625
22,0.11,random,5,0.625
22,0.12000000000000001,hierarchical clustering,7,0.875
22,0.12000000000000001,k-means,7,0.875
22,0.12000000000000001,random,5,0.625
22,0.13,hierarchical clustering,7,0.875
22,0.13,k-means,6,0.75
22,0.13,random,6,0.75
22,0.14,hierarchical clustering,7,0.875
22,0.14,k-means,6,0.75
22,0.14,random,5,0.625
22,0.15000000000000002,hierarchical clustering,8,1
22,0.15000000000000002,k-means,7,0.875
22,0.15000000000000002,random,6,0.75
22,0.16,hierarchical clustering,7,0.875
22,0.16,k-means,7,0.875
22,0.16,random,7,0.875
22,0.16999999999999998,hierarchical clustering,7,0.875
22,0.16999999999999998,k-means,6,0.75
22,0.16999999999999998,random,6,0.75
22,0.18,hierarchical clustering,7,0.875
22,0.18,k-means,8,1
22,0.18,random,7,0.875
22,0.19,hierarchical clustering,6,0.75
22,0.19,k-means,7,0.875
22,0.19,random,7,0.875
22,0.2,hierarchical clustering,7,0.875
22,0.2,k-means,7,0.875
22,0.2,random,7,0.875
22,0.21000000000000002,hierarchical clustering,7,0.875
22,0.21000000000000002,k-means,6,0.75
22,0.21000000000000002,random,8,1
22,0.22000000000000003,hierarchical clustering,8,1
22,0.22000000000000003,k-means,7,0.875
22,0.22000000000000003,random,6,0.75
22,0.22999999999999998,hierarchical clustering,7,0.875
22,0.22999999999999998,k-means,7,0.875
22,0.22999999999999998,random,7,0.875
22,0.24,hierarchical clustering,8,1
22,0.24,k-means,8,1
22,0.24,random,7,0.875
22,0.25,hierarchical clustering,8,1
22,0.25,k-means,7,0.875
22,0.25,random,7,0.875
22,0.26,hierarchical clustering,7,0.875
22,0.26,k-means,7,0.875
22,0.26,random,8,1
22,0.27,hierarchical clustering,8,1
22,0.27,k-means,8,1
22,0.27,random,7,0.875
22,0.28,hierarchical clustering,7,0.875
22,0.28,k-means,8,1
22,0.28,random,6,0.75
22,0.29,hierarchical clustering,8,1
22,0.29,k-means,8,1
22,0.29,random,7,0.875
22,0.3,hierarchical clustering,7,0.875
22,0.3,k-means,8,1
22,0.3,random,7,0.875
22,0.31,hierarchical clustering,8,1
22,0.31,k-means,8,1
22,0.31,random,8,1
22,0.32,hierarchical clustering,7,0.875
22,0.32,k-means,7,0.875
22,0.32,random,8,1
22,0.33,hierarchical clustering,7,0.875
22,0.33,k-means,8,1
22,0.33,random,7,0.875
22,0.33999999999999997,hierarchical clustering,6,0.75
22,0.33999999999999997,k-means,8,1
22,0.33999999999999997,random,8,1
22,0.35,hierarchical clustering,8,1
22,0.35,k-means,8,1
22,0.35,random,8,1
22,0.36,hierarchical clustering,8,1
22,0.36,k-means,8,1
22,0.36,random,7,0.875
22,0.37,hierarchical clustering,7,0.875
22,0.37,k-means,8,1
22,0.37,random,8,1
22,0.38,hierarchical clustering,7,0.875
22,0.38,k-means,8,1
22,0.38,random,7,0.875
22,0.39,hierarchical clustering,7,0.875
22,0.39,k-means,7,0.875
22,0.39,random,7,0.875
22,0.4,hierarchical clustering,8,1
22,0.4,k-means,8,1
22,0.4,random,8,1
22,0.41,hierarchical clustering,8,1
22,0.41,k-means,8,1
22,0.41,random,8,1
22,0.42,hierarchical clustering,7,0.875
22,0.42,k-means,7,0.875
22,0.42,random,8,1
22,0.43,hierarchical clustering,8,1
22,0.43,k-means,8,1
22,0.43,random,8,1
22,0.44,hierarchical clustering,8,1
22,0.44,k-means,8,1
22,0.44,random,8,1
22,0.45,hierarchical clustering,8,1
22,0.45,k-means,8,1
22,0.45,random,8,1
22,0.46,hierarchical clustering,8,1
22,0.46,k-means,8,1
22,0.46,random,7,0.875
22,0.47,hierarchical clustering,8,1
22,0.47,k-means,8,1
22,0.47,random,7,0.875
22,0.48,hierarchical clustering,8,1
22,0.48,k-means,8,1
22,0.48,random,8,1
22,0.49,hierarchical clustering,8,1
22,0.49,k-means,8,1
22,0.49,random,8,1
22,0.5,hierarchical clustering,8,1
22,0.5,k-means,8,1
22,0.5,random,8,1
22,0.51,hierarchical clustering,8,1
22,0.51,k-means,8,1
22,0.51,random,8,1
22,0.52,hierarchical clustering,8,1
22,0.52,k-means,8,1
22,0.52,random,7,0.875
22,0.53,hierarchical clustering,8,1
22,0.53,k-means,8,1
22,0.53,random,8,1
22,0.54,hierarchical clustering,8,1
22,0.54,k-means,8,1
22,0.54,random,8,1
22,0.55,hierarchical clustering,8,1
22,0.55,k-means,8,1
22,0.55,random,8,1
22,0.56,hierarchical clustering,8,1
22,0.56,k-means,8,1
22,0.56,random,8,1
22,0.5700000000000001,hierarchical clustering,8,1
22,0.5700000000000001,k-means,8,1
22,0.5700000000000001,random,8,1
22,0.5800000000000001,hierarchical clustering,8,1
22,0.5800000000000001,k-means,8,1
22,0.5800000000000001,random,8,1
22,0.5900000000000001,hierarchical clustering,8,1
22,0.5900000000000001,k-means,8,1
22,0.5900000000000001,random,8,1
22,0.6000000000000001,hierarchical clustering,8,1
22,0.6000000000000001,k-means,8,1
22,0.6000000000000001,random,8,1
22,0.6100000000000001,hierarchical clustering,8,1
22,0.6100000000000001,k-means,8,1
22,0.6100000000000001,random,7,0.875
22,0.6200000000000001,hierarchical clustering,8,1
22,0.6200000000000001,k-means,8,1
22,0.6200000000000001,random,8,1
22,0.63,hierarchical clustering,8,1
22,0.63,k-means,8,1
22,0.63,random,8,1
22,0.64,hierarchical clustering,8,1
22,0.64,k-means,8,1
22,0.64,random,8,1
22,0.65,hierarchical clustering,8,1
22,0.65,k-means,8,1
22,0.65,random,8,1
22,0.66,hierarchical clustering,8,1
22,0.66,k-means,8,1
22,0.66,random,8,1
22,0.67,hierarchical clustering,8,1
22,0.67,k-means,8,1
22,0.67,random,8,1
22,0.68,hierarchical clustering,8,1
22,0.68,k-means,8,1
22,0.68,random,8,1
22,0.6900000000000001,hierarchical clustering,8,1
22,0.6900000000000001,k-means,8,1
22,0.6900000000000001,random,8,1
22,0.7000000000000001,hierarchical clustering,8,1
22,0.7000000000000001,k-means,8,1
22,0.7000000000000001,random,8,1
22,0.7100000000000001,hierarchical clustering,8,1
22,0.7100000000000001,k-means,8,1
22,0.7100000000000001,random,8,1
22,0.7200000000000001,hierarchical clustering,8,1
22,0.7200000000000001,k-means,8,1
22,0.7200000000000001,random,8,1
22,0.7300000000000001,hierarchical clustering,8,1
22,0.7300000000000001,k-means,8,1
22,0.7300000000000001,random,8,1
22,0.7400000000000001,hierarchical clustering,8,1
22,0.7400000000000001,k-means,8,1
22,0.7400000000000001,random,8,1
22,0.7500000000000001,hierarchical clustering,8,1
22,0.7500000000000001,k-means,8,1
22,0.7500000000000001,random,8,1
22,0.76,hierarchical clustering,8,1
22,0.76,k-means,8,1
22,0.76,random,8,1
22,0.77,hierarchical clustering,8,1
22,0.77,k-means,8,1
22,0.77,random,8,1
22,0.78,hierarchical clustering,8,1
22,0.78,k-means,8,1
22,0.78,random,8,1
22,0.79,hierarchical clustering,8,1
22,0.79,k-means,8,1
22,0.79,random,8,1
22,0.8,hierarchical clustering,8,1
22,0.8,k-means,8,1
22,0.8,random,8,1
22,0.81,hierarchical clustering,8,1
22,0.81,k-means,8,1
22,0.81,random,8,1
